,Pais,Genero,Edad,Antigüedad,FacturacionTotal,PuntuacionCrediticia,CantidadProductos,PoseeTarjetaCredito,MiembroActivo,SalarioEstimado,VelocidadServicio,Abandono
64,Chile,Masculino,53,1,84903.33,575,2,No,Si,26015.8,2GB,No
65,Argentina,Masculino,20,4,0.0,582,1,Si,Si,55763.66,100GB,No
66,Brasil,Femenino,47,1,131160.85,753,1,Si,No,197444.69,20GB,No
67,Argentina,Masculino,42,8,102870.93,658,1,No,Si,103764.55,500Mb,Si
68,Brasil,Masculino,27,8,113174.21,712,2,Si,No,147261.58,20GB,No
69,Brasil,Masculino,59,1,130854.59,833,1,Si,Si,30722.52,500Mb,Si
70,Argentina,Femenino,24,7,100169.51,705,1,Si,No,121408.55,1GB,No
71,Argentina,Masculino,53,3,83568.26,611,1,No,No,1235.49,1GB,No
72,Chile,Masculino,39,3,0.0,512,1,Si,No,134878.19,100GB,No
73,Brasil,Femenino,38,1,128218.47,580,1,Si,No,125953.83,100GB,Si
74,Chile,Femenino,30,2,0.0,701,2,Si,No,115650.63,1GB,No
75,Argentina,Femenino,42,3,156555.54,781,1,Si,Si,175674.01,100GB,No
76,Brasil,Femenino,56,3,127585.98,684,3,Si,Si,80593.49,2GB,Si
77,Argentina,Femenino,67,3,0.0,620,2,Si,Si,43486.73,20GB,No
78,Argentina,Femenino,27,7,0.0,754,2,Si,No,144134.64,2GB,No
79,Brasil,Femenino,38,5,123770.46,657,1,No,No,47019.66,1GB,Si
80,Argentina,Masculino,28,2,109137.12,678,1,Si,Si,58814.41,100GB,No
81,Argentina,Femenino,46,9,0.0,743,1,Si,No,113436.08,500Mb,Si
82,Chile,Masculino,39,6,170184.99,754,2,Si,No,89593.26,500Mb,Si
83,Chile,Masculino,26,4,0.0,818,2,Si,Si,167036.94,100GB,No
84,Argentina,Masculino,63,9,70655.48,576,1,No,No,78955.8,20GB,Si
85,Argentina,Masculino,39,8,0.0,782,2,Si,Si,33949.67,20GB,No
86,Brasil,Femenino,58,7,116922.25,622,1,Si,No,120415.61,1GB,Si
87,Argentina,Masculino,44,10,118569.03,524,2,No,No,82117.2,20GB,No
88,Argentina,Femenino,35,9,0.0,850,2,No,No,25329.48,1GB,No
89,Argentina,Masculino,44,3,107764.75,632,1,Si,No,185667.72,2GB,No
90,Argentina,Masculino,34,1,0.0,780,1,Si,Si,64804.04,2GB,No
91,Brasil,Masculino,59,8,119152.1,506,2,Si,Si,170679.74,20GB,No
92,Brasil,Masculino,41,7,122403.24,512,1,No,Si,37439.9,100GB,Si
93,Brasil,Femenino,32,7,94753.55,583,2,Si,Si,18149.03,1GB,No
94,Argentina,Masculino,35,4,0.0,815,2,No,Si,198490.33,500Mb,Si
95,Brasil,Masculino,39,10,124576.65,492,2,Si,No,148584.61,500Mb,Si
96,Argentina,Masculino,35,2,133853.27,594,1,Si,Si,65361.66,100GB,No
97,Argentina,Femenino,71,2,0.0,604,2,Si,Si,49506.82,500Mb,Si
98,Argentina,Masculino,28,3,0.0,798,2,Si,No,2305.27,1GB,No
99,Argentina,Femenino,52,0,185891.54,713,1,Si,Si,46369.57,2GB,Si
100,Brasil,Masculino,51,1,147910.3,697,1,Si,Si,53581.14,2GB,No
101,Argentina,Masculino,38,1,115934.74,728,1,Si,Si,139059.05,2GB,No
102,Argentina,Femenino,32,2,0.0,777,1,Si,No,136458.19,100GB,Si
103,Chile,Masculino,35,7,110349.82,850,1,No,No,126355.8,2GB,No
104,Argentina,Masculino,56,9,96951.21,794,1,Si,Si,71776.76,1GB,No
105,Chile,Masculino,38,8,71460.67,539,2,Si,Si,10074.05,500Mb,Si
106,Chile,Masculino,25,8,142862.21,792,1,Si,Si,130639.01,20GB,No
107,Argentina,Masculino,31,9,0.0,797,2,Si,Si,24748.89,500Mb,Si
108,Argentina,Femenino,48,2,0.0,678,2,Si,Si,32301.88,2GB,No
109,Chile,Masculino,56,7,50911.21,683,3,No,No,97629.31,1GB,Si
110,Argentina,Masculino,30,9,0.0,526,2,No,No,100995.68,1GB,No
111,Argentina,Femenino,37,5,0.0,662,2,Si,No,151871.84,2GB,No
112,Argentina,Masculino,35,9,100107.99,661,1,Si,No,83949.68,100GB,No
113,Argentina,Masculino,35,7,129717.3,551,2,No,No,86937.2,500Mb,Si
114,Chile,Masculino,50,2,0.0,658,2,Si,No,52137.73,2GB,No
115,Brasil,Masculino,31,1,142631.54,670,2,Si,Si,175894.24,100GB,No
116,Chile,Femenino,56,7,0.0,619,2,Si,Si,42442.21,1GB,No
117,Brasil,Femenino,41,8,130701.29,692,1,Si,No,59354.24,1GB,Si
118,Brasil,Femenino,39,5,114491.82,850,1,Si,No,99689.48,500Mb,Si
119,Argentina,Masculino,27,2,0.0,718,2,No,No,26229.24,20GB,No
120,Brasil,Femenino,59,8,154110.99,517,2,Si,No,101240.08,500Mb,Si
121,Argentina,Femenino,36,10,0.0,850,2,Si,Si,100750.03,100GB,No
122,Brasil,Femenino,40,7,104449.8,850,1,Si,Si,747.88,100GB,No
123,Chile,Masculino,22,4,0.0,544,2,Si,No,70007.67,2GB,No
124,Argentina,Femenino,24,8,92760.55,644,1,Si,No,35896.75,20GB,No
125,Brasil,Femenino,59,8,121669.93,645,2,No,No,91.75,1GB,Si
126,Chile,Femenino,38,9,102406.76,608,1,No,Si,57600.66,1GB,No
127,Brasil,Masculino,36,7,95448.32,701,2,Si,No,189085.07,20GB,No
128,Brasil,Femenino,64,10,98362.35,717,2,Si,Si,21630.21,500Mb,Si
129,Argentina,Masculino,38,10,0.0,656,1,Si,Si,136521.82,100GB,No
130,Argentina,Femenino,51,3,0.0,839,1,Si,Si,69101.23,20GB,Si
131,Argentina,Masculino,35,2,86911.8,651,1,Si,No,174094.24,20GB,No
132,Argentina,Masculino,55,9,0.0,682,1,Si,No,153356.8,500Mb,Si
133,Brasil,Femenino,55,0,108477.27,554,1,No,Si,140003.0,2GB,Si
134,Argentina,Masculino,30,6,0.0,547,2,Si,Si,18471.86,500Mb,Si
135,Chile,Masculino,28,6,123692.0,561,1,Si,Si,70548.96,1GB,No
136,Chile,Masculino,35,1,100829.94,719,1,Si,Si,165008.97,1GB,No
137,Chile,Masculino,27,10,0.0,593,3,No,No,94620.0,20GB,Si
138,Chile,Masculino,50,7,0.0,617,1,Si,No,184839.7,1GB,Si
139,Argentina,Masculino,29,6,123192.12,659,1,Si,Si,56971.41,20GB,Si
140,Chile,Femenino,29,1,209490.21,706,1,Si,Si,133267.69,100GB,Si
141,Chile,Masculino,46,3,65269.23,573,1,No,Si,189988.65,20GB,Si
142,Brasil,Femenino,62,9,137727.34,584,2,No,Si,121102.9,500Mb,Si
143,Brasil,Femenino,28,1,124511.01,668,1,No,No,114258.18,20GB,No
144,Argentina,Masculino,33,9,0.0,773,2,Si,Si,1118.31,2GB,No
145,Argentina,Femenino,43,10,147832.15,744,1,No,Si,24234.11,20GB,No
146,Brasil,Femenino,47,5,170935.94,686,1,Si,No,173179.79,100GB,Si
147,Argentina,Femenino,35,4,0.0,641,2,No,No,125986.18,100GB,No
148,Brasil,Femenino,40,2,162485.8,737,2,Si,No,149381.32,1GB,No
149,Chile,Masculino,27,9,139834.93,622,1,Si,Si,152733.89,2GB,No
150,Chile,Masculino,42,6,0.0,586,2,Si,Si,123410.23,1GB,No
151,Argentina,Masculino,34,4,0.0,559,2,Si,Si,66721.98,100GB,No
152,Argentina,Masculino,37,4,0.0,673,2,No,No,163563.07,2GB,No
153,Chile,Femenino,70,1,0.0,788,2,Si,Si,41610.62,500Mb,Si
154,Chile,Masculino,42,0,0.0,680,1,Si,No,136377.21,100GB,No
155,Chile,Masculino,33,1,0.0,710,2,Si,No,168313.17,100GB,No
156,Brasil,Femenino,60,1,72948.58,807,2,Si,Si,17355.36,500Mb,Si
157,Chile,Masculino,34,5,113922.44,718,2,Si,No,30772.22,1GB,No
158,Chile,Masculino,27,7,149400.27,497,1,No,No,167522.19,100GB,No
159,Argentina,Masculino,22,8,123374.46,523,1,Si,Si,124906.59,1GB,No
160,Chile,Femenino,45,1,0.0,617,1,Si,No,143298.06,2GB,No
161,Brasil,Femenino,50,10,92895.56,454,1,Si,No,154344.0,2GB,Si
162,Argentina,Femenino,39,6,0.0,675,2,No,No,83419.15,20GB,No
163,Chile,Femenino,35,8,0.0,527,1,Si,No,98031.53,20GB,Si
164,Brasil,Femenino,34,5,96693.66,777,1,Si,Si,172618.52,1GB,No
165,Chile,Masculino,33,3,0.0,675,2,Si,No,45348.08,100GB,No
166,Argentina,Femenino,40,5,137494.28,673,1,Si,No,81753.92,20GB,No
167,Argentina,Masculino,23,9,168372.52,648,1,Si,No,134676.72,2GB,No
168,Argentina,Masculino,41,0,106134.46,632,1,No,Si,105570.39,100GB,No
169,Argentina,Femenino,40,3,47364.45,670,1,Si,Si,148579.43,20GB,Si
170,Argentina,Femenino,35,9,112727.06,494,2,Si,No,183752.91,20GB,No
171,Argentina,Masculino,34,7,0.0,506,2,No,No,115842.1,500Mb,Si
172,Chile,Masculino,39,2,81273.13,762,1,Si,Si,18719.67,100GB,No
173,Brasil,Femenino,31,7,148913.72,769,2,Si,No,53817.23,20GB,No
174,Brasil,Femenino,43,2,69014.49,692,2,No,No,164621.43,100GB,No
175,Argentina,Femenino,31,9,0.0,594,1,No,Si,5719.11,500Mb,Si
176,Argentina,Masculino,48,4,0.0,753,2,No,Si,146821.42,500Mb,Si
177,Argentina,Masculino,40,7,113348.14,844,1,Si,No,31904.31,100GB,Si
178,Argentina,Femenino,42,5,0.0,690,2,No,Si,120512.08,1GB,No
179,Argentina,Femenino,32,5,0.0,688,2,No,Si,177607.77,20GB,No
180,Argentina,Femenino,27,6,62339.81,432,2,No,No,53874.67,500Mb,Si
181,Argentina,Masculino,40,6,0.0,724,2,No,No,106149.48,1GB,No
182,Argentina,Masculino,38,10,82697.28,648,1,Si,No,74846.67,500Mb,Si
183,Chile,Masculino,51,1,122874.74,611,1,Si,Si,149648.45,2GB,No
184,Chile,Masculino,50,2,0.0,719,2,No,No,10772.13,2GB,No
185,Chile,Masculino,52,2,0.0,773,2,Si,No,57337.79,2GB,No
186,Chile,Femenino,31,5,174853.46,513,1,Si,No,84238.63,1GB,No
187,Chile,Femenino,39,8,144102.32,705,1,Si,Si,11682.36,2GB,No
188,Brasil,Masculino,34,3,133658.24,485,1,Si,No,70209.83,20GB,No
189,Brasil,Femenino,36,5,90063.74,471,2,Si,Si,96366.7,2GB,No
190,Brasil,Femenino,44,10,113581.98,591,1,Si,No,1985.41,500Mb,Si
191,Argentina,Masculino,41,4,0.0,693,2,No,No,156381.47,500Mb,Si
192,Chile,Masculino,37,4,155187.3,662,1,Si,No,48930.8,20GB,No
193,Argentina,Femenino,39,1,132077.48,582,2,Si,No,192255.15,100GB,No
194,Argentina,Masculino,37,2,163789.49,791,2,Si,No,75832.53,2GB,No
195,Chile,Femenino,39,7,0.0,549,1,No,No,81259.25,20GB,Si
196,Argentina,Masculino,47,9,0.0,744,2,Si,No,113163.17,500Mb,Si
197,Chile,Masculino,32,5,138521.83,615,1,Si,Si,56897.1,100GB,No
198,Argentina,Femenino,31,9,0.0,790,2,Si,No,84126.75,100GB,No
199,Argentina,Femenino,46,7,98752.51,593,1,Si,No,145560.38,2GB,No
200,Argentina,Masculino,49,5,122486.47,850,1,No,Si,59748.19,1GB,No
201,Argentina,Masculino,40,8,110340.68,640,1,Si,Si,157886.6,20GB,No
202,Brasil,Femenino,44,10,106731.58,705,1,Si,No,137419.87,2GB,Si
203,Chile,Femenino,39,9,161993.89,698,1,No,No,90212.38,500Mb,Si
204,Argentina,Femenino,32,7,0.0,527,2,Si,Si,44099.75,100GB,No
205,Argentina,Masculino,44,9,149961.11,634,1,Si,No,57121.51,1GB,No
206,Argentina,Masculino,19,5,127649.64,660,1,Si,Si,40368.65,100GB,No
207,Argentina,Masculino,40,9,46520.69,714,1,Si,Si,96687.25,500Mb,Si
208,Argentina,Femenino,33,4,84607.34,642,2,No,Si,60059.47,2GB,No
209,Argentina,Masculino,38,3,0.0,809,2,Si,Si,80061.31,1GB,No
210,Chile,Masculino,37,3,171653.17,613,1,No,Si,5353.12,2GB,No
211,Argentina,Masculino,27,8,0.0,756,2,Si,Si,157932.75,20GB,No
212,Brasil,Masculino,26,4,120727.97,689,1,No,Si,149073.88,2GB,No
213,Chile,Femenino,57,3,0.0,705,2,Si,Si,34134.14,500Mb,Si
214,Brasil,Masculino,35,10,136281.41,580,2,Si,Si,24799.47,1GB,No
215,Argentina,Femenino,57,8,137936.94,575,1,Si,Si,84475.13,1GB,No
216,Argentina,Femenino,70,9,110738.89,770,1,Si,No,22666.77,1GB,Si
217,Argentina,Masculino,44,7,0.0,737,2,No,No,57898.58,1GB,No
218,Brasil,Femenino,37,6,96340.81,614,2,Si,Si,139377.24,100GB,Si
219,Brasil,Femenino,37,3,109974.22,705,1,Si,Si,36320.87,2GB,Si
220,Argentina,Femenino,41,3,33563.95,466,2,Si,No,178994.13,1GB,Si
221,Brasil,Masculino,41,2,124439.49,756,2,No,Si,47093.11,500Mb,Si
222,Argentina,Masculino,29,4,80262.6,658,1,Si,Si,20612.82,100GB,No
223,Argentina,Femenino,40,5,0.0,707,2,Si,No,41052.82,500Mb,Si
224,Chile,Masculino,35,2,0.0,643,2,No,No,67979.35,100GB,No
225,Argentina,Masculino,29,8,0.0,842,2,Si,Si,123437.05,1GB,No
226,Argentina,Masculino,39,5,0.0,567,2,No,No,168521.72,1GB,No
227,Argentina,Femenino,41,2,125785.23,649,1,Si,Si,70523.92,2GB,No
228,Argentina,Femenino,45,2,0.0,634,4,Si,No,101039.53,500Mb,Si
229,Argentina,Femenino,64,7,142028.36,650,1,Si,No,32275.09,500Mb,Si
230,Brasil,Femenino,36,2,127160.78,664,2,Si,No,78140.75,500Mb,Si
231,Argentina,Masculino,33,7,154575.76,640,1,Si,No,25722.28,20GB,Si
232,Argentina,Masculino,59,7,127450.14,583,1,No,Si,67552.71,20GB,No
233,Argentina,Masculino,36,7,0.0,732,2,Si,Si,60830.24,1GB,No
234,Argentina,Femenino,27,2,0.0,627,2,Si,No,125451.01,20GB,No
235,Argentina,Masculino,38,8,0.0,489,2,No,Si,196990.79,100GB,No
236,Argentina,Femenino,31,8,0.0,616,1,No,Si,76456.17,1GB,No
237,Brasil,Masculino,28,2,70233.74,784,2,Si,Si,179252.73,100GB,No
238,Argentina,Femenino,44,3,109528.28,716,1,Si,No,27341.63,2GB,Si
239,Argentina,Masculino,28,4,0.0,850,2,Si,Si,12409.01,100GB,No
240,Argentina,Masculino,30,8,89182.09,628,1,Si,Si,13126.9,1GB,No
241,Argentina,Femenino,60,7,73937.02,430,1,Si,No,161937.62,500Mb,Si
242,Argentina,Masculino,27,2,128243.03,573,1,Si,Si,11631.34,20GB,No
243,Chile,Femenino,41,5,0.0,708,1,No,Si,157003.99,500Mb,Si
244,Argentina,Femenino,37,4,0.0,652,2,Si,No,143393.24,2GB,No
245,Argentina,Femenino,46,4,96173.17,557,2,Si,Si,116378.31,2GB,No
246,Argentina,Masculino,24,9,101827.07,770,1,Si,No,167256.35,2GB,No
247,Chile,Masculino,39,5,170288.38,612,1,Si,Si,59601.15,2GB,No
248,Chile,Masculino,37,5,129312.79,609,1,Si,Si,26793.82,100GB,No
249,Brasil,Femenino,41,2,138881.04,645,1,Si,No,129936.53,100GB,Si
250,Brasil,Femenino,31,9,135020.21,549,2,Si,Si,23343.18,100GB,No
251,Chile,Femenino,58,4,0.0,682,1,Si,No,176036.01,100GB,No
252,Argentina,Femenino,53,2,45472.28,564,1,Si,Si,41055.71,500Mb,Si
253,Brasil,Masculino,54,1,123544.0,596,1,Si,Si,120314.75,20GB,Si
254,Argentina,Masculino,32,10,0.0,631,2,No,Si,196342.66,2GB,No
255,Argentina,Masculino,41,9,0.0,534,2,Si,No,13871.34,2GB,No
256,Chile,Femenino,46,5,56580.95,700,2,No,Si,45424.13,20GB,No
257,Brasil,Masculino,62,4,108716.59,638,2,Si,Si,74241.09,500Mb,Si
258,Argentina,Masculino,41,7,0.0,613,2,Si,No,60297.72,2GB,No
259,Brasil,Masculino,34,8,147487.23,578,2,Si,No,66680.77,500Mb,Si
260,Argentina,Femenino,38,10,0.0,819,2,Si,No,30498.7,20GB,No
261,Chile,Femenino,36,6,0.0,642,2,Si,Si,97938.59,1GB,No
262,Argentina,Femenino,72,8,0.0,677,2,Si,Si,153604.44,20GB,No
263,Brasil,Femenino,59,7,91680.1,496,2,Si,No,163141.18,2GB,Si
264,Chile,Masculino,50,3,0.0,506,2,Si,No,12016.79,500Mb,Si
265,Chile,Femenino,54,1,187997.15,662,1,No,No,111442.71,100GB,Si
266,Argentina,Masculino,37,5,113308.84,517,1,No,Si,31517.16,500Mb,Si
267,Brasil,Masculino,28,1,79460.98,489,2,Si,Si,167973.63,500Mb,Si
268,Brasil,Femenino,36,8,103914.17,736,1,Si,Si,110035.88,20GB,Si
269,Brasil,Masculino,36,7,89409.95,675,1,Si,Si,149399.7,20GB,No
270,Argentina,Femenino,42,2,0.0,692,2,Si,No,145222.93,2GB,No
271,Brasil,Femenino,34,1,131736.88,743,1,Si,Si,108543.21,2GB,No
272,Brasil,Masculino,38,5,65095.41,745,2,Si,Si,140197.42,2GB,No
273,Argentina,Masculino,30,3,0.0,545,2,Si,No,170307.43,2GB,No
274,Brasil,Masculino,61,8,133802.29,520,2,Si,Si,90304.01,20GB,No
275,Chile,Femenino,40,3,113348.5,614,1,Si,Si,77789.01,20GB,No
276,Chile,Masculino,23,5,164902.43,685,1,No,No,141152.28,500Mb,Si
277,Argentina,Femenino,37,6,129101.3,629,1,Si,Si,23971.33,20GB,No
278,Argentina,Femenino,28,8,0.0,711,2,No,No,105159.89,20GB,No
279,Brasil,Masculino,23,6,92366.72,536,2,Si,No,120661.71,100GB,No
280,Chile,Masculino,31,2,113836.27,746,1,Si,Si,174815.54,500Mb,Si
281,Argentina,Masculino,35,6,135871.5,684,1,Si,Si,87219.41,2GB,No
282,Argentina,Masculino,29,4,132954.64,654,1,Si,Si,146715.07,500Mb,Si
283,Brasil,Masculino,36,6,140418.81,727,1,Si,Si,113033.73,2GB,Si
284,Argentina,Femenino,56,10,129255.2,608,2,Si,No,142492.04,100GB,Si
285,Brasil,Femenino,43,7,119127.46,597,2,Si,No,55809.92,2GB,No
286,Brasil,Masculino,37,1,117524.72,611,2,No,Si,161064.29,20GB,No
287,Argentina,Masculino,41,3,0.0,850,2,Si,No,128892.36,100GB,No
288,Brasil,Femenino,18,2,93816.7,727,2,Si,No,126172.11,1GB,No
289,Chile,Masculino,41,4,89015.61,577,1,No,Si,135227.23,100GB,No
290,Argentina,Femenino,29,10,0.0,850,2,Si,Si,199775.67,1GB,No
291,Brasil,Femenino,48,8,139480.18,681,1,Si,Si,163581.67,20GB,No
292,Brasil,Femenino,31,5,102088.68,578,4,No,No,187866.21,20GB,Si
293,Argentina,Masculino,38,2,119272.29,535,1,No,No,195896.59,500Mb,Si
294,Argentina,Masculino,40,7,160818.08,475,1,No,Si,169642.13,2GB,Si
295,Chile,Femenino,30,3,0.0,680,1,Si,No,160131.58,100GB,No
296,Chile,Masculino,39,1,60374.98,735,1,Si,No,40223.74,100GB,No
297,Argentina,Masculino,29,9,0.0,542,1,Si,No,8342.35,1GB,No
298,Argentina,Masculino,39,4,160652.45,725,2,Si,No,57643.55,500Mb,Si
299,Brasil,Masculino,27,5,147004.34,704,1,Si,No,64381.33,1GB,Si
300,Argentina,Femenino,49,9,44301.43,618,3,Si,Si,89729.3,1GB,Si
301,Argentina,Masculino,39,2,0.0,701,2,Si,Si,82526.92,100GB,No
302,Argentina,Masculino,34,3,128743.55,541,1,Si,No,134851.12,100GB,No
303,Chile,Femenino,39,5,0.0,484,2,Si,Si,175224.12,100GB,No
304,Chile,Femenino,37,8,0.0,584,2,No,Si,100835.19,2GB,No
305,Argentina,Femenino,34,7,121551.58,534,2,Si,Si,70179.0,500Mb,Si
306,Argentina,Femenino,42,5,0.0,468,2,Si,No,125305.34,100GB,No
307,Argentina,Masculino,40,3,0.0,408,2,No,No,124874.23,500Mb,Si
308,Chile,Femenino,46,8,155681.72,688,1,Si,No,26287.21,500Mb,Si
309,Argentina,Femenino,39,8,101928.51,670,1,No,No,89205.54,500Mb,Si
310,Chile,Masculino,37,1,0.0,590,2,No,No,133535.99,1GB,No
311,Chile,Femenino,21,5,113157.22,485,1,Si,Si,54141.5,500Mb,Si
312,Chile,Femenino,39,6,0.0,717,2,Si,No,93275.61,500Mb,Si
313,Chile,Masculino,31,9,0.0,786,2,Si,Si,18210.36,20GB,No
314,Brasil,Masculino,45,10,117231.63,745,3,Si,Si,122381.02,20GB,Si
315,Argentina,Masculino,40,6,0.0,558,2,Si,No,173844.89,2GB,No
316,Chile,Femenino,35,7,147285.52,604,1,Si,Si,57807.05,100GB,No
317,Chile,Masculino,55,3,0.0,552,1,Si,Si,40333.94,1GB,No
318,Argentina,Femenino,33,4,0.0,608,1,Si,No,79304.38,500Mb,Si
319,Argentina,Femenino,50,10,0.0,655,4,Si,No,179267.94,100GB,Si
320,Argentina,Masculino,34,10,0.0,663,1,Si,Si,114083.73,100GB,No
321,Brasil,Masculino,31,1,117020.08,706,2,Si,No,54439.53,1GB,No
322,Argentina,Masculino,34,9,0.0,739,1,Si,No,60584.33,2GB,No
323,Brasil,Masculino,31,2,137260.45,690,2,Si,No,55387.28,100GB,No
324,Argentina,Masculino,35,9,0.0,687,2,No,Si,73133.82,1GB,No
325,Argentina,Masculino,42,3,164951.56,471,1,Si,No,190531.77,1GB,No
326,Argentina,Masculino,31,1,108345.22,673,1,No,Si,38802.03,2GB,No
327,Chile,Femenino,39,0,0.0,532,2,Si,No,94977.3,1GB,No
328,Argentina,Masculino,50,4,0.0,524,2,Si,Si,31840.59,100GB,Si
329,Chile,Masculino,32,7,106957.28,625,1,Si,Si,134794.02,2GB,No
330,Argentina,Femenino,38,3,0.0,693,2,No,No,78133.48,1GB,Si
331,Brasil,Masculino,43,8,119654.44,789,2,No,Si,148412.24,20GB,Si
332,Argentina,Femenino,45,6,0.0,551,2,Si,Si,51143.43,2GB,No
333,Chile,Femenino,28,2,0.0,586,2,Si,Si,92067.35,500Mb,Si
334,Argentina,Femenino,58,4,0.0,777,1,Si,Si,62449.07,500Mb,Si
